,route_id_weekday,18~19_ride_route_id_weekday_mean,18~19_ride_route_id_weekday_sum
559,228(화순전대병원)_1076_6,2.0,2
560,228(화순전대병원)_1079_1,1.5,3
561,228(화순전대병원)_1079_2,1.0,3
562,228(화순전대병원)_1079_3,1.0,2
563,228(화순전대병원)_1079_4,1.0,2
564,228(화순전대병원)_1079_5,1.5,3
565,228(화순전대병원)_1079_6,1.0,1
566,228(화순전대병원)_1080_0,2.0,12
567,228(화순전대병원)_1080_1,2.4,12
568,228(화순전대병원)_1080_2,4.0,28
569,228(화순전대병원)_1080_3,2.6,13
570,228(화순전대병원)_1080_4,3.4,17
571,228(화순전대병원)_1080_5,2.142857142857143,15
572,228(화순전대병원)_1080_6,2.0,10
573,228(화순전대병원)_1082_0,1.0,1
574,228(화순전대병원)_1082_1,2.0,2
575,228(화순전대병원)_1082_3,1.0,1
576,228(화순전대병원)_1082_4,1.5,3
577,228(화순전대병원)_1082_5,1.0,1
578,228(화순전대병원)_1083_0,1.5,3
579,228(화순전대병원)_1083_1,1.0,2
580,228(화순전대병원)_1083_2,1.0,1
581,228(화순전대병원)_1083_3,1.5,3
582,228(화순전대병원)_1083_4,1.6,8
583,228(화순전대병원)_1083_5,1.0,2
584,228(화순전대병원)_1083_6,2.0,4
585,228(화순전대병원)_1086_0,2.5,5
586,228(화순전대병원)_1086_1,1.5,6
587,228(화순전대병원)_1086_2,1.5,6
588,228(화순전대병원)_1086_3,2.3333333333333335,7
589,228(화순전대병원)_1086_4,3.3333333333333335,10
590,228(화순전대병원)_1086_5,2.5,5
591,228(화순전대병원)_1086_6,2.5,5
592,228(화순전대병원)_1087_0,1.0,1
593,228(화순전대병원)_1087_1,2.0,2
594,228(화순전대병원)_1087_2,2.0,4
595,228(화순전대병원)_1087_3,2.0,2
596,228(화순전대병원)_1089_0,1.0,2
597,228(화순전대병원)_1089_3,1.0,1
598,228(화순전대병원)_1089_4,1.0,1
599,228(화순전대병원)_1089_5,1.0,2
600,228(화순전대병원)_1089_6,1.0,1
601,228(화순전대병원)_1090_0,1.5,9
602,228(화순전대병원)_1090_1,1.5,6
603,228(화순전대병원)_1090_2,1.3333333333333333,4
604,228(화순전대병원)_1090_3,2.142857142857143,15
605,228(화순전대병원)_1090_4,2.2,11
606,228(화순전대병원)_1090_5,1.25,5
607,228(화순전대병원)_1090_6,2.5,15
608,228(화순전대병원)_1093_0,1.0,1
609,228(화순전대병원)_1093_1,1.4,7
610,228(화순전대병원)_1093_2,1.3333333333333333,4
611,228(화순전대병원)_1093_3,2.3333333333333335,7
612,228(화순전대병원)_1093_4,2.2,11
613,228(화순전대병원)_1093_5,2.0,10
614,228(화순전대병원)_1093_6,1.0,1
615,228(화순전대병원)_1094_0,1.0,4
616,228(화순전대병원)_1094_1,1.3333333333333333,4
617,228(화순전대병원)_1094_2,1.5,3
618,228(화순전대병원)_1094_3,1.0,2
619,228(화순전대병원)_1094_4,1.2,6
620,228(화순전대병원)_1094_6,2.0,2
621,228(화순전대병원)_1095_0,2.0,10
622,228(화순전대병원)_1095_1,2.6666666666666665,8
623,228(화순전대병원)_1095_2,2.0,12
624,228(화순전대병원)_1095_3,1.25,5
625,228(화순전대병원)_1095_4,1.6666666666666667,10
626,228(화순전대병원)_1095_5,2.0,8
627,228(화순전대병원)_1095_6,2.0,2
628,228(화순전대병원)_1096_0,1.3333333333333333,4
629,228(화순전대병원)_1096_1,1.2,6
630,228(화순전대병원)_1096_2,1.5,6
631,228(화순전대병원)_1096_3,2.0,6
632,228(화순전대병원)_1096_4,3.0,9
633,228(화순전대병원)_1096_5,1.75,7
634,228(화순전대병원)_1096_6,1.75,7
635,228(화순전대병원)_1098_0,2.5,15
636,228(화순전대병원)_1098_1,2.8,14
637,228(화순전대병원)_1098_2,2.142857142857143,15
638,228(화순전대병원)_1098_3,2.7142857142857144,19
639,228(화순전대병원)_1098_4,1.8571428571428572,13
640,228(화순전대병원)_1098_5,4.25,17
641,228(화순전대병원)_1098_6,1.6666666666666667,5
642,228(화순전대병원)_1099_0,2.1666666666666665,13
643,228(화순전대병원)_1099_1,2.2,11
644,228(화순전대병원)_1099_2,2.1666666666666665,13
645,228(화순전대병원)_1099_3,3.25,13
646,228(화순전대병원)_1099_4,2.2857142857142856,16
647,228(화순전대병원)_1099_5,3.1666666666666665,19
648,228(화순전대병원)_1099_6,2.5,5
649,228(화순전대병원)_1107_0,1.6,8
650,228(화순전대병원)_1107_1,1.75,7
651,228(화순전대병원)_1107_2,1.5,3
652,228(화순전대병원)_1107_3,1.6,8
653,228(화순전대병원)_1107_4,1.0,2
654,228(화순전대병원)_1107_5,1.0,1
655,228(화순전대병원)_1107_6,1.0,1
656,228(화순전대병원)_1108_0,5.0,30
657,228(화순전대병원)_1108_1,2.6666666666666665,16
658,228(화순전대병원)_1108_2,2.0,12
659,228(화순전대병원)_1108_3,3.8333333333333335,23
