idx,target,m,s
5051,일곡38_4566,2.625165563,1982
5052,일곡38_5240,1.613333333,484
5053,일곡38_4467,4.627932961,4142
5054,일곡38_2133,1.198412698,151
5055,일곡38_2134,1.268156425,227
5056,일곡38_5242,5.16008316,4964
5057,일곡38_5243,1.147058824,39
5058,일곡38_4386,1.401129944,496
5059,일곡38_5250,1.842105263,245
5060,일곡38_5149,1.818862275,1215
5061,일곡38_5254,2.69973545,2041
5062,일곡38_5208,1.516709512,590
5063,일곡38_5209,2.264197531,917
5064,일곡38_5256,1.536159601,616
5065,일곡38_2232,3.360393604,2732
5066,일곡38_2233,2.731868132,1243
5067,일곡38_5166,2.385386819,1665
5068,일곡38_5260,2.708394698,1839
5069,일곡38_4373,1.328903654,400
5070,일곡38_4374,2.219346049,1629
5071,일곡38_4361,1.949122807,1111
5072,일곡38_4377,2.905963303,2534
5073,일곡38_4526,1.960151803,1033
5074,일곡38_2236,4.112445415,3767
5075,일곡38_2143,1.41954023,247
5076,일곡38_2144,1.439655172,167
5077,일곡38_2234,1.496710526,455
5078,일곡38_2235,1.306382979,307
5079,일곡38_4474,1.634146341,670
5080,일곡38_4475,6.76223092,6911
5081,일곡38_4580,2.045685279,1209
5082,일곡38_4480,1.843195266,623
5083,일곡38_4481,7.078585462,7206
5084,일곡38_4496,3.670305677,3362
5085,일곡38_4497,2.852694611,2382
5086,일곡38_4505,2.086042065,1091
5087,일곡38_4506,1.705636743,817
5088,일곡38_4498,1.669902913,688
5089,일곡38_4499,1.696465696,816
5090,일곡38_5215,1.560509554,490
5091,일곡38_5216,1.285714286,189
5092,일곡38_4410,2.779319042,2204
5093,일곡38_4411,3.154545455,2776
5094,일곡38_4408,3.458388375,2618
5095,일곡38_4409,3.903030303,3220
5096,일곡38_4450,1.644562334,620
5097,일곡38_4509,1.555873926,543
5098,일곡38_4536,1.806640625,925
5099,일곡38_4556,1.855305466,1154
5100,일곡38_4557,2.654731458,2076
5101,일곡38_2237,2.518377693,1987
5102,일곡38_2241,1.438953488,495
5103,일곡38_5265,15.39282154,15439
5104,임곡290_5159,1.196969697,79
5105,임곡290_5274,1.323529412,90
5106,임곡290_5566,1.219512195,50
5107,임곡290_5268,1.358974359,53
5108,임곡290_5249,1.266666667,19
5109,임곡290_5208,1.230769231,32
5110,임곡290_5527,1,5
5111,임곡290_5280,1.242424242,41
5112,임곡290_5283,1.230769231,32
5113,임곡290_5560,2.02962963,274
5114,임곡290_5561,1.16,58
5115,임곡89_2062,1.266666667,95
5116,임곡89_5324,1.303571429,146
5117,임곡89_5801,1.269767442,273
5118,임곡89_5802,1.289655172,187
5119,임곡89_5326,1.287356322,112
5120,임곡89_5328,1.08,27
5121,임곡89_4334,1.439393939,190
5122,임곡89_2001,1.392156863,71
5123,임곡89_2002,1.32,198
5124,임곡89_2180,1.206349206,76
5125,임곡89_2179,1.153846154,30
5126,임곡89_2034,1.064516129,33
5127,임곡89_2187,1.131578947,43
5128,임곡89_2036,1.267857143,71
5129,임곡89_2350,1.551020408,228
5130,임곡89_2163,1.185714286,83
5131,임곡89_2164,1.493506494,115
5132,임곡89_4153,1.151515152,76
5133,임곡89_4149,1.229166667,118
5134,임곡89_4150,1.296,162
5135,임곡89_4429,1.514851485,153
5136,임곡89_4430,1.183673469,58
5137,임곡89_5294,1.618705036,225
5138,임곡89_5295,1.658730159,209
5139,임곡89_5298,1.222222222,88
5140,임곡89_5299,1.462184874,174
5141,임곡89_4440,1.382716049,112
5142,임곡89_5334,1.524752475,154
5143,임곡89_5337,1,9
5144,임곡89_5339,1.166666667,91
5145,임곡89_5341,1.219298246,139
5146,임곡89_2069,1.485294118,202
5147,임곡89_5348,1.206896552,70
5148,임곡89_5349,1.192307692,155
5149,임곡89_5304,1.613899614,418
5150,임곡89_5351,1.227272727,162
5151,임곡89_5352,1,5
5152,임곡89_4340,1.194690265,135
5153,임곡89_4343,1.472906404,299
5154,임곡89_2168,2.006756757,594
5155,임곡89_4539,1.394366197,198
5156,임곡89_5359,1.348148148,182
5157,임곡89_4534,1.492857143,209
5158,임곡89_5390,1.235294118,147
