idx,name,i,r,dong_name,dist
2390,송정초교,5010,지원45,도산동, 광산구 
2391,광천치안센터,2004,양산60,광천동, 서구 
2392,신안교,4338,송암47,신안동, 북구 
2393,서구문화센터,2031,매월26,금호2동, 서구 
2394,518민주화운동기록관,1137,228(화순전대병원),금남로3가,금남로3가
2395,영천초교,5312,진곡196,월곡1동, 광산구 
2396,신우아파트,3184,송암73,월산5동, 남구 
2397,고실마을,5734,수완49,수완동, 광산구 
2398,반촌,5170,송정29,신창동, 광산구 
2399,연제현대아파트,4076,송정33,양산동, 북구 
2400,주월중입구,3218,운림50,주월1동, 남구 
2401,고내입구,4008,첨단92,월출동,월출동
2402,광주공고입구,4197,매월26,매곡동, 북구 
2403,농협운천지점,2214,좌석02,치평동, 서구 
2404,전남고입구,2145,마을799,마륵동,마륵동
2405,진남초교,3277,진월75,진월동, 남구 
2406,운암초교,4433,금남58,운암3동, 북구 
2407,시청,2232,금호46,치평동, 서구 
2408,용전사거리(남),4089,매월26,용전동,용전동
2409,신창용수마을,5189,봉선27,신창동, 광산구 
2410,경방,5494,첨단20,장덕동,장덕동
2411,전대치과병원,4352,지원152(능주역),신안동, 북구 
2412,중흥1동행정복지센터,4536,금남57,중흥1동, 북구 
2413,기아자동차,2270,상무64,화정1동, 서구 
2414,중앙일보,5550,첨단20,장덕동,장덕동
2415,쌍촌시영아파트,2084,송암73,상무2동, 서구 
2416,광주역,4334,수완49,신안동, 북구 
2417,도로교통공단 대신파크,4380,송정19,용봉동, 북구 
2418,서일초교,4467,일곡38,일곡동, 북구 
2419,송암공단입구,3155,일곡28,송하동,송하동
2420,대성여고,3236,수완03,진월동, 남구 
2421,신용초등학교,4614,마을700,신용동, 북구 
2422,조선대,1047,수완03,서석동,서석동
2423,동성고,3241,수완03,진월동, 남구 
2424,발산교(북),2159,마을760,양3동, 서구 
2425,무등야구장,4440,송정98,운암2동, 북구 
2426,대성여고,3236,송암31,진월동, 남구 
2427,운천역(북),2407,마을760,상무1동, 서구 
2428,영광통,5166,마을720,소촌동,소촌동
2429,화정중흥파크,2283,송암72,화정1동, 서구 
2430,하남중,5288,금호46,산정동,산정동
2431,전자공고,5443,첨단40,산월동,산월동
2432,목련마을,5294,송정98,운남동, 광산구 
2433,월산4동,3178,송암73,월산4동, 남구 
2434,금호도개공아파트,2018,매월26,금호1동, 서구 
2435,빛고을고입구,4617,마을700,신용동, 북구 
2436,보건대입구,5173,송암72,신창동, 광산구 
2437,전통공예문화학교,4102,용전84,용전동,용전동
2438,용봉쌍용아파트,4208,송정29,매곡동, 북구 
2439,양산호수공원,4080,첨단23,양산동, 북구 
2440,골옷교,5872,수완49,수완동, 광산구 
2441,백운광장,3212,첨단95,주월1동, 남구 
2442,호남삼육고입구,3216,일곡28,주월1동, 남구 
2443,교육대,4561,지원15,풍향동, 북구 
2444,운천저수지,2089,마을760,상무2동, 서구 
2445,송원대,3162,진월17,송하동,송하동
2446,홍림교,1167,수완12,학동, 동구 
2447,동강대,4564,송정19,풍향동, 북구 
2448,광주공고입구,4198,마을788,매곡동, 북구 
2449,송원대,3162,송암73,송하동,송하동
2450,장원초교(동),1035,두암81(무등파크),산수2동, 동구 
2451,운천저수지,2089,운림50,상무2동, 서구 
2452,동산아파트,1059,운림35,지산2동, 동구 
2453,용두주공,4085,일곡10,용두동,용두동
2454,시립장애인복지관,4157,송암72,동림동, 북구 
2455,북광주수협,4582,1187,신안동, 북구 
2456,공군부대후문,5913,송정19,황룡동,광산구
2457,문화전당역,1130,518,광산동,광산동
2458,문화초교,4178,금호36,두암2동, 북구 
2459,소촌금호아파트,5244,송정98,소촌동,소촌동
2460,문흥라인동산아파트,4235,문흥39,문흥1동, 북구 
2461,첨단휴먼시아,4613,일곡10,연제동,연제동
