idx,i,dis_5159,dis_5745,dis_5445,dis_4475,dis_4406,dis_2002,dis_2232,dis_1130,dis_3236,time
149,2020,6.082437631,7.162093108,9.299636251,8.695994977,6.840600103,3.752727144,2.966856156,5.725157072,4.00587848,18_20
150,2021,6.629435022,7.389386087,9.360256745,8.44077351,6.422265897,3.457644141,3.041960979,5.18168482,3.518072128,18_20
151,2022,6.636401068,7.41122599,9.383261502,8.459975816,6.435486996,3.476274992,3.064871536,5.183704188,3.503794352,18_20
152,2023,6.086534726,7.602628741,9.806345004,9.205191486,7.266566944,4.244762806,3.480442819,5.961319568,3.911900952,18_20
153,2024,6.077989623,7.609054481,9.816717532,9.220680139,7.282951643,4.260651718,3.491572817,5.975954505,3.919620417,18_20
154,2025,6.389811886,8.019557038,10.18938987,9.441556234,7.374412366,4.459044674,3.85569228,5.88190263,3.608938079,18_20
155,2026,6.353924015,8.008192948,10.18838108,9.460282369,7.402969618,4.479142079,3.855775723,5.91876805,3.645687557,18_20
156,2027,5.811529536,7.249205636,9.493718485,9.041418774,7.225675809,4.117242294,3.184382169,6.085391271,4.211145965,18_20
157,2028,5.835587639,7.301753612,9.545537236,9.079670015,7.248739762,4.150513406,3.234886019,6.084943829,4.180587098,18_20
158,2029,5.977015348,7.666033226,9.916817146,9.380579095,7.456913563,4.426065578,3.601993263,6.137974808,4.017012602,18_20
159,2031,6.185290533,7.291722527,9.41189965,8.748482604,6.844416489,3.791493335,3.077020032,5.664932344,3.883676086,18_20
160,2032,6.208584437,7.284137839,9.394722284,8.718027086,6.810547184,3.759709972,3.059391726,5.633579842,3.86744012,18_20
161,2033,9.107567168,6.861408445,7.480546418,4.984090443,2.785415119,0.829832986,3.11141558,3.102182969,4.615763578,18_20
162,2034,9.133464125,6.906172159,7.52453114,5.00748092,2.777582701,0.870942753,3.145640557,3.05781584,4.579694332,18_20
163,2036,9.253767901,7.238355304,7.897457522,5.291300453,2.851091851,1.175234463,3.357859056,2.742219403,4.232950818,18_20
164,2037,9.202537329,7.161400954,7.824953804,5.254301854,2.861237012,1.098805898,3.291802423,2.817664256,4.288413962,18_20
165,2041,9.256814448,7.351584546,8.047731387,5.442957503,2.944968192,1.286529643,3.411038011,2.649854563,4.07229801,18_20
166,2042,9.466909495,7.76788524,8.485011495,5.761242297,3.060209789,1.709762518,3.741184467,2.282824103,3.6955006,18_20
167,2044,9.434914434,7.066768811,7.552485068,4.813089589,2.469778233,1.111043023,3.420281601,2.902638575,4.689825469,18_20
168,2045,8.78646111,7.036365906,7.904511783,5.62679387,3.339607234,1.03139437,2.979621247,3.047443949,4.059672371,18_20
169,2046,9.461364615,7.627927117,8.299357533,5.566060138,2.916373797,1.562757626,3.665536999,2.378944716,3.896533799,18_20
170,2047,9.486052393,7.657857691,8.325348704,5.577035359,2.91139527,1.592628295,3.694614853,2.348912984,3.88090078,18_20
