,BUSSTOP_ID,BUSSTOP_NAME,NAME_E,LONGITUDE,LATITUDE,ARS_ID,NEXT_BUSSTOP
4006,1410,효동초교입구,Hyodong Elementary School Entrance,126.91112203,35.16973523,4551,북구차량등록민원실
4007,6610,성곡리샛터   ,Seonggok-li Saetteo           ,127.0586567,35.26225667,요곡         ,
4008,871,신안교입구,Sinangyo Bridge Entrance,126.89612222,35.17478056,4387,유창아파트
4009,1182,잿등,Jaetdeung,126.87266072,35.15152207,2312,화정역
4010,2084,장수동,Jangsu-dong ,126.789241,35.182954,5544,구강리
4011,1883,두촌,Duchon,126.922625,35.24661111,4028,단지삼거리
4012,2057,연동 서길,Yeondong West Road,126.77252222,35.20445833,5361,연동삼거리
4013,962,대촌마을입구,Daechon Village Entrance,126.85755709,35.23668854,4025,첨단종점
4014,3276,목련마을8단지,Mongryeon Village Apt. Complex 8,126.81600172,35.17946857,5298,목련마을
4015,3157,태목,Taemok,126.8975,35.26187778,6125,강의리
4016,209,전남대병원오거리,Chonnam National University Hospital Ogeori,126.920775,35.14343056,1046,전남대병원/남광주시장
4017,280,대덕아파트,Daedeok Apt.,126.81507347,35.15446944,5277,광주자동화설비공업고등학교
4018,1458,일동초교,Ildong Elementary School,126.89438238,35.20650117,4484,일신초교
4019,410,문흥라인동산아파트,Munheung Line Dongsan Apt.,126.92590402,35.18892209,4234,문흥금호아파트
4020,845,금호시영아파트,Kumho Siyeong Apt.,126.85889798,35.13603523,2010,금호한국아파트
4021,1008,용봉초교,Yongbong Elementary School,126.89948726,35.16977133,4344,전남대사거리(동)
4022,4386,상공회의소 임시정류소,Chamber of Commerce & industry,126.883389,35.14996,2452,
4023,3983,동곡송정마을입구,Donggok Songjeong Village Entrance,126.79342734,35.10212855,5785,유림마을
4024,3988,조산동길,Josandong-gil,126.7634467,35.10592574,5775,조산서길
4025,564,백운광장,Baegun Plaza,126.900075,35.131783,3213,호남삼육고입구
4026,1121,유덕초교,Yudeok Elementary School,126.86357175,35.164725,2198,칠성마을사거리
4027,1255,두암주공입구,Duam Jugong Apt. Entrance,126.93231389,35.16640278,4163,기산복합상가
4028,1690,나주터미널,Naju  Bus Terminal,126.721125,35.03355,6058,나주경찰서
4029,1128,은혜학교,Eunhae School,126.850173,35.233197,4096,대촌마을
4030,5361,LH1단지,126.77858802,35.01687356,,,
4031,5364,대방엘리움1차,126.78164575,35.01579279,,,
4032,5365,이지더원아파트,126.78327653,35.01455383,,,
4033,6614,화양마을입구 ,Hwayang Maeul Entrance        ,126.9966583,35.24682667,화양마을     ,
4034,3967,두산,Dusan,126.760753,35.108645,5772,조산서길
4035,3971,동곡동행정복지센터,Donggok-dong Administration Welfare Ceneter,126.77207144,35.09898492,5780,관두
4036,3976,복호,Bokho,126.78937118,35.10758003,5789,동곡송정
4037,3980,팽호,Paengho,126.78641239,35.10945637,5791,복호
4038,3989,조산서길,Josanseo-gil,126.76188631,35.10746374,5773,두산
