정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
GUB2602790,채만식문학관,1,,,36.00841522,126.758461,2021-09-16 5:01,2602790,35020,군산시
GUB2602800,군산간호대,1,,,35.96974945,126.7593079,2021-09-16 5:01,2602800,35020,군산시
GUB2602810,군산간호대,1,,,35.96986389,126.759346,2021-09-16 5:01,2602810,35020,군산시
GUB2602820,군산여상,1,,,35.9562645,126.7063446,2021-09-16 5:01,2602820,35020,군산시
GUB2602830,주공5차,1,,,35.96960068,126.7064438,2021-09-16 5:01,2602830,35020,군산시
GUB2602840,서해대학,1,,,35.98016739,126.7067184,2021-09-16 5:01,2602840,35020,군산시
GUB2602850,군부대,1,,,35.93933487,126.7069855,2021-09-16 5:01,2602850,35020,군산시
GUB2602860,군부대,1,,,35.93939972,126.7071915,2021-09-16 5:01,2602860,35020,군산시
GUB2602870,도선장,1,,,35.99278259,126.7074738,2021-09-16 5:01,2602870,35020,군산시
GUB2602880,도선장사거리,1,,,35.99148178,126.7089157,2021-09-16 5:01,2602880,35020,군산시
GUB2602890,삼학주민센터,1,,,35.97651672,126.7075501,2021-09-16 5:01,2602890,35020,군산시
GUB2602900,해양경찰서,1,,,35.99088287,126.7078095,2021-09-16 5:01,2602900,35020,군산시
GUB2602910,상평광원마을,1,,,35.92656708,126.7079086,2021-09-16 5:01,2602910,35020,군산시
GUB2602920,동산중학교,1,,,35.98888397,126.7078629,2021-09-16 5:01,2602920,35020,군산시
GUB2602930,상평광원마을,1,,,35.92636871,126.7080231,2021-09-16 5:01,2602930,35020,군산시
GUB2602940,광월,1,,,35.92449951,126.7080917,2021-09-16 5:01,2602940,35020,군산시
GUB2602950,명산사거리,1,,,35.98435211,126.7082062,2021-09-16 5:01,2602950,35020,군산시
GUB2602960,광월,1,,,35.92463303,126.7082062,2021-09-16 5:01,2602960,35020,군산시
GUB2602970,지곡코아루아파트,1,,,35.9557991,126.7082367,2021-09-16 5:01,2602970,35020,군산시
GUB2602980,주공4차,1,,,35.9696312,126.7084122,2021-09-16 5:01,2602980,35020,군산시
GUB2602990,옥산공원,1,,,35.96391678,126.7085648,2021-09-16 5:01,2602990,35020,군산시
GUB2603000,명산사거리.동국사,1,,,35.98320007,126.70858,2021-09-16 5:01,2603000,35020,군산시
GUB2603010,삼학대우아파트,1,,,35.97598648,126.7094727,2021-09-16 5:01,2603010,35020,군산시
GUB2603020,군산중학교,1,,,35.9774971,126.7037125,2021-09-16 5:01,2603020,35020,군산시
GUB2603030,명산사거리,1,,,35.98343658,126.7095566,2021-09-16 5:01,2603030,35020,군산시
GUB2603040,월명주민센터,1,,,35.98503494,126.7098312,2021-09-16 5:01,2603040,35020,군산시
GUB2603050,기업은행,1,,,35.98785019,126.7099304,2021-09-16 5:01,2603050,35020,군산시
GUB2603060,개정,1,,,35.92043304,126.7102509,2021-09-16 5:01,2603060,35020,군산시
GUB2603070,개정,1,,,35.92053223,126.7104034,2021-09-16 5:01,2603070,35020,군산시
